estado,llave,fn_dia,fn_mes
"01","01000501101","18","10"
"01","01000501102","12","05"
"01","01000501103","22","07"
"01","01000503101","24","10"
"01","01000503102","26","10"
"01","01000503103","19","06"
"01","01000504101","07","10"
"01","01000504102","18","05"
"01","01000505101","31","07"
"01","01001501101","18","10"
"01","01001501102","16","06"
"01","01001501103","08","04"
"01","01001501104","22","09"
"01","01001501105","25","06"
"01","01001501106","17","08"
"01","01001501107","12","06"
"01","01001501108","23","10"
"01","01001501109","09","10"
"01","01001501110","11","04"
"01","01001502101","01","02"
"01","01001502102","12","03"
"01","01001502103","05","02"
"01","01001503101","14","11"
"01","01002401101","06","11"
"01","01002401102","03","06"
"01","01002401103","14","08"
"01","01002401104","21","11"
"01","01002401105","15","05"
"01","01002401106","21","04"
"01","01002401107","25","04"
"01","01002401108","26","10"
"01","01002401109","22","07"
"01","01002401110","02","02"
"01","01002402101","22","08"
"01","01002402102","28","06"
"01","01002402103","08","10"
"01","01002402104","26","04"
"01","01002402105","17","09"
"01","01002403108","03","10"
"01","01002403114","18","01"
"01","01002403113","13","10"
"01","01002403112","20","11"
"01","01002403111","07","03"
"01","01002403110","24","06"
"01","01002403109","30","08"
"01","01002403107","08","07"
"01","01002403103","08","10"
"01","01002404101","28","07"
"01","01002404102","29","10"
"01","01002404103","23","09"
"01","01002405101","13","03"
"01","01002405102","24","12"
"01","01002405103","17","03"
"01","01002405104","27","01"
"01","01002601101","15","11"
"01","01002601102","01","01"
"01","01002602101","09","09"
"01","01002602102","03","04"
"01","01002602103","01","06"
"01","01002603101","25","05"
"01","01002603102","22","05"
"01","01002604101","23","03"
"01","01002604102","11","01"
"01","01002604103","04","02"
"01","01002604104","17","01"
"01","01002604105","22","02"
"01","01002604106","17","12"
"01","01002605101","30","09"
"01","01002605102","02","02"
"01","01002605103","17","09"
"01","01002701101","19","10"
"01","01002701102","24","03"
"01","01002701103","16","07"
"01","01002702101","19","11"
"01","01002702102","20","02"
"01","01002702103","04","12"
"01","01002702104","04","02"
"01","01002702105","10","01"
"01","01002702106","06","04"
"01","01002702107","03","03"
"01","01002703101","12","10"
"01","01002703102","27","09"
"01","01002703103","21","05"
"01","01002703104","07","12"
"01","01002703105","06","12"
"01","01002704101","26","07"
"01","01002704102","15","04"
"01","01002704103","11","01"
"01","01002704104","20","11"
"01","01002704105","20","01"
"01","01002704106","11","09"
"01","01002704107","30","06"
"01","01002705101","16","11"
"01","01002705102","04","07"
"01","01003101101","22","04"
"01","01003101102","15","08"
"01","01003101103","26","03"
"01","01003101104","13","04"
"01","01003101105","26","07"
"01","01003101106","16","04"
"01","01003101107","18","11"
"01","01003101108","08","07"
"01","01003101201","18","08"
"01","01003101202","17","10"
"01","01003101203","30","09"
"01","01003101204","24","06"
"01","01003101205","15","09"
"01","01003102101","09","04"
"01","01003102102","17","06"
"01","01003102103","26","10"
"01","01003102104","31","01"
"01","01003103101","17","10"
"01","01003103102","14","10"
"01","01003103103","31","01"
"01","01003105101","06","12"
"01","01003105102","27","11"
"01","01003105103","06","12"
"01","01003105104","24","02"
"01","01003105105","21","02"
"01","01003105106","21","02"
"01","01003105107","28","05"
"01","01003105108","17","07"
"01","01003301101","04","01"
"01","01003301102","02","10"
"01","01003301103","05","03"
"01","01003301104","25","03"
"01","01003301105","12","06"
"01","01003302101","23","11"
"01","01003302102","17","07"
"01","01003302201","20","01"
"01","01003302202","11","05"
"01","01003302203","18","08"
"01","01003302204","09","08"
"01","01003303101","15","04"
"01","01003303102","11","01"
"01","01003303103","01","11"
"01","01003303104","05","02"
"01","01003303105","09","03"
"01","01003303106","07","05"
"01","01003304101","20","05"
"01","01003304102","08","03"
"01","01003305101","02","08"
"01","01003305102","20","04"
"01","01003305103","10","11"
"01","01003305104","17","09"
"01","01003305105","13","04"
"01","01003501101","01","10"
"01","01003501102","23","01"
"01","01003502101","21","03"
"01","01003502102","27","01"
"01","01003502103","10","06"
"01","01003503101","18","02"
"01","01003503102","22","12"
"01","01003503103","10","10"
"01","01003503104","07","12"
"01","01003504101","30","10"
"01","01003504102","23","01"
"01","01003504103","09","12"
"01","01003504104","02","04"
"01","01003504105","01","01"
"01","01003505101","23","03"
"01","01003601101","15","03"
"01","01003601102","20","03"
"01","01003601103","26","04"
"01","01003601104","15","02"
"01","01003601105","25","04"
"01","01003601107","20","10"
"01","01003601108","11","10"
"01","01003602101","08","04"
"01","01003602102","23","04"
"01","01003602103","28","08"
"01","01003602104","07","04"
"01","01003602105","05","02"
"01","01003602106","16","07"
"01","01003604101","09","05"
"01","01003604102","04","04"
"01","01003604103","23","07"
"01","01003604104","13","09"
"01","01003604105","25","11"
"01","01003604106","06","05"
"01","01003605101","01","06"
"01","01003605102","04","10"
"01","01003605103","23","04"
"01","01003605104","22","02"
"01","01004301101","14","09"
"01","01004301102","12","01"
"01","01004301103","23","05"
"01","01004302101","08","04"
"01","01004302102","26","01"
"01","01004302103","08","04"
"01","01004302104","15","10"
"01","01004302105","15","10"
"01","01004801101","29","11"
"01","01004801102","30","11"
"01","01004801103","06","07"
"01","01004801104","28","04"
"01","01004802101","04","04"
"01","01004802102","01","10"
"01","01004802103","03","09"
"01","01004802104","03","09"
"01","01004802105","17","10"
"01","01004802106","17","06"
"01","01004805101","02","11"
"01","01004805102","21","08"
"01","01004805103","09","07"
"01","01004901101","25","09"
"01","01004901102","06","11"
"01","01004901103","20","07"
"01","01004902101","18","08"
"01","01004903101","10","10"
"01","01004903102","03","06"
"01","01004903103","14","05"
"01","01004903104","05","06"
"01","01004903105","15","06"
"01","01004904109","01","12"
"01","01004904116","22","07"
"01","01004904115","09","12"
"01","01004904114","13","09"
"01","01004904113","27","11"
"01","01004904112","09","10"
"01","01004904111","14","02"
"01","01004904110","21","08"
"01","01004904101","03","10"
"01","01004904108","15","03"
"01","01004904107","25","07"
"01","01004904106","02","07"
"01","01004904105","18","07"
"01","01004904104","13","09"
"01","01004904103","24","03"
"01","01004904102","30","09"
"01","01004905101","21","04"
"01","01005601101","27","09"
"01","01005601102","20","06"
"01","01005601103","06","02"
"01","01005601104","28","05"
"01","01005601105","05","12"
"01","01005602101","19","06"
"01","01005602102","03","01"
"01","01005602103","08","07"
"01","01005602104","15","09"
"01","01005602105","11","01"
"01","01005602106","18","03"
"01","01005603101","22","12"
"01","01005603102","08","06"
"01","01005603103","30","05"
"01","01005604101","99","99"
"01","01005604102","99","08"
"01","01005604103","27","02"
"01","01006001101","25","04"
"01","01006001102","20","08"
"01","01006001103","29","04"
"01","01006001104","03","03"
"01","01006003101","20","01"
"01","01006003102","16","06"
"01","01006003103","25","04"
"01","01006004101","27","07"
"01","01006004102","28","10"
"01","01006004103","25","04"
"01","01006004104","13","12"
"01","01006004105","15","02"
"01","01006004106","22","03"
"01","01006005101","22","11"
"01","01006005102","06","01"
"01","01006005103","05","04"
"01","01006401101","30","04"
"01","01006401102","27","09"
"01","01006402101","15","04"
"01","01006402102","24","07"
"01","01006403101","14","09"
"01","01006403102","24","10"
"01","01006403103","03","10"
"01","01006404101","04","07"
"01","01006404102","11","08"
"01","01006405101","22","04"
"01","01006405102","18","06"
"01","01006405103","20","11"
"01","01006405104","03","11"
"01","01006405105","20","07"
"01","01006601101","12","05"
"01","01006601102","22","12"
"01","01006601103","15","01"
"01","01006602101","17","07"
"01","01006603101","07","10"
"01","01006603102","17","04"
"01","01006603103","13","06"
"01","01006603104","24","01"
"01","01006603105","18","08"
"01","01006604101","29","04"
"01","01006604102","15","08"
"01","01006604103","19","01"
"01","01006604104","31","08"
"01","01006702101","30","03"
"01","01006702102","02","01"
"01","01006702103","28","11"
"01","01006703101","01","03"
"01","01006703102","09","10"
"01","01006703103","09","09"
"01","01006703104","08","12"
"01","01006703105","11","11"
"01","01006704101","29","12"
"01","01006704102","20","02"
"01","01006704103","22","07"
"01","01006704104","30","04"
"01","01006704105","24","05"
"01","01006704106","15","01"
"01","01006705101","09","12"
"01","01006705102","01","08"
"01","01006705103","01","08"
"01","01006705104","19","07"
"01","01006705105","09","06"
"01","01007601101","04","03"
"01","01007601102","30","12"
"01","01007601103","17","07"
"01","01007601104","30","12"
"01","01007601105","18","05"
"01","01007602101","29","12"
"01","01007602102","14","10"
"01","01007602103","30","07"
"01","01007602104","03","06"
"01","01007602105","26","05"
"01","01007603101","24","08"
"01","01007603102","10","04"
"01","01007603103","11","12"
"01","01007603104","14","06"
"01","01007603105","09","06"
"01","01007604101","17","09"
"01","01007604102","25","04"
"01","01007604103","30","06"
"01","01007604104","04","03"
"01","01007604105","13","12"
"01","01007604106","21","12"
"01","01007604107","27","06"
"01","01007605101","29","06"
"01","01007605102","04","10"
"01","01007901101","17","05"
"01","01007901102","07","08"
"01","01007901103","27","07"
"01","01007901104","29","03"
"01","01007901105","06","12"
"01","01007901106","08","06"
"01","01007902101","04","09"
"01","01007902102","30","03"
"01","01007902103","25","06"
"01","01007902104","17","04"
"01","01007902105","07","02"
"01","01007903101","19","03"
"01","01007903102","01","02"
"01","01007903103","12","09"
"01","01007904101","16","09"
"01","01007904102","24","09"
"01","01007904103","29","08"
"01","01007905101","11","06"
"01","01007905102","27","08"
"01","01007905103","02","09"
"01","01007905104","05","10"
"01","01008101101","23","12"
"01","01008101102","08","11"
"01","01008101103","31","07"
"01","01008101104","30","10"
