x,y
0,1
0.04,1.04
0.08,1.0816
0.12,1.12486
0.16,1.16986
0.2,1.21665
0.24,1.26532
0.28,1.31593
0.32,1.36857
0.36,1.42331
0.4,1.48024
0.44,1.53945
0.48,1.60103
0.52,1.66507
0.56,1.73168
0.6,1.80094
0.64,1.87298
0.68,1.9479
0.72,2.02582
0.76,2.10685
0.8,2.19112
0.84,2.27877
0.88,2.36992
0.92,2.46472
0.96,2.5633
1,2.66584
1.04,2.77247
1.08,2.88337
1.12,2.9987
1.16,3.11865
1.2,3.2434
1.24,3.37313
1.28,3.50806
1.32,3.64838
1.36,3.79432
1.4,3.94609
1.44,4.10393
1.48,4.26809
1.52,4.43881
1.56,4.61637
1.6,4.80102
1.64,4.99306
1.68,5.19278
1.72,5.4005
1.76,5.61652
1.8,5.84118
1.84,6.07482
1.88,6.31782
1.92,6.57053
1.96,6.83335
2,7.10668
2.04,7.39095
2.08,7.68659
2.12,7.99405
2.16,8.31381
2.2,8.64637
2.24,8.99222
2.28,9.35191
2.32,9.72599
2.36,10.115
2.4,10.5196
2.44,10.9404
2.48,11.378
2.52,11.8332
2.56,12.3065
2.6,12.7987
2.64,13.3107
2.68,13.8431
2.72,14.3968
2.76,14.9727
2.8,15.5716
2.84,16.1945
2.88,16.8423
2.92,17.516
2.96,18.2166
3,18.9453
3.04,19.7031
3.08,20.4912
3.12,21.3108
3.16,22.1633
3.2,23.0498
3.24,23.9718
3.28,24.9307
3.32,25.9279
3.36,26.965
3.4,28.0436
3.44,29.1653
3.48,30.332
3.52,31.5452
3.56,32.8071
3.6,34.1193
3.64,35.4841
3.68,36.9035
3.72,38.3796
3.76,39.9148
3.8,41.5114
3.84,43.1718
3.88,44.8987
3.92,46.6947
3.96,48.5625
4,50.5049
