x,y
0,1
0.04,1.04081
0.08,1.08329
0.12,1.1275
0.16,1.17351
0.2,1.2214
0.24,1.27125
0.28,1.32313
0.32,1.37713
0.36,1.43333
0.4,1.49182
0.44,1.55271
0.48,1.61607
0.52,1.68203
0.56,1.75067
0.6,1.82212
0.64,1.89648
0.68,1.97388
0.72,2.05443
0.76,2.13828
0.8,2.22554
0.84,2.31637
0.88,2.4109
0.92,2.50929
0.96,2.6117
1,2.71828
1.04,2.82922
1.08,2.94468
1.12,3.06485
1.16,3.18993
1.2,3.32012
1.24,3.45561
1.28,3.59664
1.32,3.74342
1.36,3.89619
1.4,4.0552
1.44,4.2207
1.48,4.39295
1.52,4.57223
1.56,4.75882
1.6,4.95303
1.64,5.15517
1.68,5.36556
1.72,5.58453
1.76,5.81244
1.8,6.04965
1.84,6.29654
1.88,6.5535
1.92,6.82096
1.96,7.09933
2,7.38906
2.04,7.69061
2.08,8.00447
2.12,8.33114
2.16,8.67114
2.2,9.02501
2.24,9.39333
2.28,9.77668
2.32,10.1757
2.36,10.591
2.4,11.0232
2.44,11.473
2.48,11.9413
2.52,12.4286
2.56,12.9358
2.6,13.4637
2.64,14.0132
2.68,14.5851
2.72,15.1803
2.76,15.7998
2.8,16.4446
2.84,17.1158
2.88,17.8143
2.92,18.5413
2.96,19.298
3,20.0855
3.04,20.9052
3.08,21.7584
3.12,22.6464
3.16,23.5706
3.2,24.5325
3.24,25.5337
3.28,26.5758
3.32,27.6603
3.36,28.7892
3.4,29.9641
3.44,31.187
3.48,32.4597
3.52,33.7844
3.56,35.1632
3.6,36.5982
3.64,38.0918
3.68,39.6464
3.72,41.2644
3.76,42.9484
3.8,44.7012
3.84,46.5255
3.88,48.4242
3.92,50.4004
3.96,52.4573
4,54.5981
