x,y
0,1
0.04,1.0408
0.08,1.08326
0.12,1.12746
0.16,1.17346
0.2,1.22134
0.24,1.27117
0.28,1.32303
0.32,1.37701
0.36,1.4332
0.4,1.49167
0.44,1.55253
0.48,1.61587
0.52,1.6818
0.56,1.75042
0.6,1.82184
0.64,1.89617
0.68,1.97353
0.72,2.05405
0.76,2.13786
0.8,2.22508
0.84,2.31586
0.88,2.41035
0.92,2.50869
0.96,2.61105
1,2.71758
1.04,2.82846
1.08,2.94386
1.12,3.06397
1.16,3.18898
1.2,3.31909
1.24,3.4545
1.28,3.59545
1.32,3.74214
1.36,3.89482
1.4,4.05373
1.44,4.21912
1.48,4.39126
1.52,4.57043
1.56,4.7569
1.6,4.95098
1.64,5.15298
1.68,5.36322
1.72,5.58204
1.76,5.80979
1.8,6.04683
1.84,6.29354
1.88,6.55032
1.92,6.81757
1.96,7.09573
2,7.38523
2.04,7.68655
2.08,8.00016
2.12,8.32657
2.16,8.66629
2.2,9.01988
2.24,9.38789
2.28,9.77091
2.32,10.1696
2.36,10.5845
2.4,11.0163
2.44,11.4658
2.48,11.9336
2.52,12.4205
2.56,12.9272
2.6,13.4547
2.64,14.0036
2.68,14.575
2.72,15.1696
2.76,15.7886
2.8,16.4327
2.84,17.1032
2.88,17.801
2.92,18.5273
2.96,19.2832
3,20.0699
3.04,20.8888
3.08,21.7411
3.12,22.6281
3.16,23.5513
3.2,24.5122
3.24,25.5123
3.28,26.5532
3.32,27.6366
3.36,28.7642
3.4,29.9377
3.44,31.1592
3.48,32.4305
3.52,33.7537
3.56,35.1308
3.6,36.5642
3.64,38.056
3.68,39.6087
3.72,41.2247
3.76,42.9067
3.8,44.6572
3.84,46.4793
3.88,48.3756
3.92,50.3493
3.96,52.4036
4,54.5417
