year,rabbit,lynx
0,30,4
0.25,32.46,3.89
0.5,35.1378,3.83805
0.75,38.0447,3.84589
1,41.1907,3.91802
1.25,44.5836,4.06239
1.5,48.2269,4.29133
1.75,52.1183,4.62307
2,56.2459,5.0839
2.25,60.5837,5.71132
2.5,65.085,6.55863
2.75,69.6726,7.7014
3,74.2253,9.24643
3.25,78.5593,11.3435
3.5,82.4052,14.1988
3.75,85.3804,18.0869
4,86.9693,23.349
4.25,86.5283,30.3554
4.5,83.3614,39.3873
4.75,76.9223,50.3893
5,67.1723,62.5988
5.25,54.9674,74.2573
5.5,42.0964,82.8758
5.75,30.6066,86.361
6,21.7727,84.2873
6.25,15.6918,77.982
6.5,11.7544,69.4218
6.75,9.2578,60.2295
7,7.67441,51.3897
7.25,6.66711,43.3795
7.5,6.03235,36.3666
7.75,5.6484,30.3547
8,5.44169,25.2696
8.25,5.36706,21.0064
8.5,5.39643,17.4534
8.75,5.51223,14.5043
9,5.70368,12.0631
9.25,5.96443,10.0461
9.5,6.29123,8.38144
9.75,6.68307,7.00835
10,7.14061,5.87599
10.25,7.66586,4.94205
10.5,8.26196,4.17148
10.75,8.93307,3.53536
11,9.68426,3.00988
11.25,10.5215,2.57551
11.5,11.4517,2.21622
11.75,12.4827,1.91891
12,13.6232,1.67286
12.25,14.8829,1.46933
12.5,16.2728,1.3012
12.75,17.8048,1.16271
13,19.4921,1.04921
13.25,21.3493,0.95696
13.5,23.3923,0.883043
13.75,25.6386,0.825209
14,28.1073,0.781821
14.25,30.8191,0.751812
14.5,33.7967,0.734678
14.75,37.0647,0.730514
15,40.6493,0.740099
15.25,44.5789,0.765066
15.5,48.8833,0.808161
15.75,53.5938,0.873685
16,58.7425,0.968187
16.25,64.3608,1.10157
16.5,70.4778,1.28892
16.75,77.1168,1.55347
17,84.2894,1.93162
17.25,91.9857,2.48148
17.5,100.157,3.29769
17.75,108.687,4.5373
18,117.336,6.46541
18.25,125.656,9.53443
18.5,132.83,14.5164
18.75,137.436,22.7003
19,137.141,36.0994
19.25,128.576,57.3459
19.5,108.254,88.2734
19.75,76.0777,125.566
20,40.6981,155.381
20.25,16.3113,160.666
20.5,6.14941,143.602
20.75,2.79056,119.959
21,1.56323,97.8919
21.25,1.03093,79.1934
21.5,0.76663,63.8242
21.75,0.62311,51.3407
22,0.541462,41.2565
22.25,0.495084,33.1337
22.5,0.470774,26.6012
22.75,0.461497,21.353
23,0.463303,17.1391
23.25,0.4739,13.7569
23.5,0.491953,11.043
23.75,0.516701,8.86565
24,0.547757,7.11886
24.25,0.584986,5.71751
24.5,0.628433,4.59324
24.75,0.678287,3.69119
25,0.734849,2.96735

