year,rabbit,lynx
0,30,4
0.25,32.5689,3.91902
0.5,35.3658,3.8993
0.75,38.401,3.9452
1,41.6815,4.0647
1.25,45.21,4.27052
1.5,48.9816,4.58177
1.75,52.9797,5.02652
2,57.1704,5.64542
2.25,61.4936,6.49705
2.5,65.8512,7.66532
2.75,70.09,9.26905
3,73.9805,11.4728
3.25,77.1944,14.4947
3.5,79.2901,18.5997
3.75,79.7302,24.0555
4,77.969,31.0188
4.25,73.6459,39.3342
4.5,66.8489,48.3215
4.75,58.2761,56.7606
5,49.0734,63.2685
5.25,40.3782,66.8967
5.5,32.9205,67.4723
5.75,26.9422,65.4673
6,22.3534,61.64
6.25,18.9223,56.7397
6.5,16.3975,51.3654
6.75,14.5621,45.9384
7,13.2472,40.7263
7.25,12.3279,35.8823
7.5,11.714,31.4804
7.75,11.3416,27.5433
8,11.1657,24.0625
8.25,11.1551,21.0112
8.5,11.2881,18.3537
8.75,11.5503,16.0507
9,11.9328,14.0626
9.25,12.4305,12.3517
9.5,13.0412,10.8833
9.75,13.7656,9.62604
10,14.6061,8.55203
10.25,15.5668,7.63694
10.5,16.6535,6.8597
10.75,17.8733,6.20224
11,19.2342,5.64926
11.25,20.7456,5.18799
11.5,22.4179,4.80796
11.75,24.262,4.50083
12,26.29,4.26032
12.25,28.5142,4.08212
12.5,30.947,3.96397
12.75,33.6008,3.90585
13,36.4866,3.91028
13.25,39.6137,3.98291
13.5,42.9878,4.13336
13.75,46.609,4.37651
14,50.4686,4.73454
14.25,54.5441,5.23976
14.5,58.7931,5.9389
14.75,63.1426,6.89914
15,67.4757,8.21636
15.25,71.6132,10.0254
15.5,75.2907,12.5107
15.75,78.1378,15.91
16,79.6717,20.4974
16.25,79.3367,26.5167
16.5,76.6291,34.0332
16.75,71.3277,42.713
17,63.7463,51.6542
17.25,54.7921,59.5104
17.5,45.6671,64.9973
17.75,37.3852,67.447
18,30.4835,66.9665
18.25,25.0542,64.1791
18.5,20.9346,59.8654
18.75,17.8752,54.7266
19,15.6345,49.2935
19.25,14.0136,43.9248
19.5,12.8611,38.8402
19.75,12.0664,34.1591
20,11.5502,29.9334
20.25,11.2567,26.1719
20.5,11.1465,22.858
20.75,11.1923,19.9607
21,11.3757,17.4424
21.25,11.6844,15.2634
21.5,12.111,13.3848
21.75,12.6516,11.7698
22,13.3053,10.3849
22.25,14.0734,9.20015
22.5,14.959,8.18906
22.75,15.9669,7.32853
23,17.1032,6.59865
23.25,18.3756,5.98244
23.5,19.7926,5.4656
23.75,21.3639,5.03623
24,23.1001,4.68472
24.25,25.0127,4.4035
24.5,27.1138,4.18704
24.75,29.4157,4.0318
25,31.9311,3.93635

