year,rabbit,lynx
0,30,4
0.25,32.5703,3.91995
0.5,35.3687,3.90123
0.75,38.4051,3.94826
1,41.6867,4.0691
1.25,45.2155,4.27655
1.5,48.986,4.58993
1.75,52.9808,5.03754
2,57.1646,5.66048
2.25,61.4753,6.51793
2.5,65.8116,7.69466
2.75,70.0163,9.3105
3,73.8547,11.5307
3.25,76.9937,14.5724
3.5,78.9906,18.6949
3.75,79.3181,24.1506
4,77.4603,31.0684
4.25,73.1058,39.2628
4.5,66.3851,48.0541
4.75,57.9885,56.2872
5,48.9925,62.6808
5.25,40.4579,66.3405
5.5,33.0843,67.0596
5.75,27.128,65.2358
6,22.5269,61.569
6.25,19.0701,56.7842
6.5,16.5176,51.48
6.75,14.6571,46.087
7,13.3211,40.8845
7.25,12.3843,36.0348
7.5,11.7562,31.619
7.75,11.3721,27.6645
8,11.1865,24.1653
8.25,11.1677,21.0966
8.5,11.2937,18.4235
8.75,11.5499,16.1068
9,11.9271,14.1071
9.25,12.4199,12.3867
9.5,13.0262,10.9105
9.75,13.7465,9.64698
10,14.5831,8.56801
10.25,15.5402,7.64905
10.5,16.6234,6.86881
10.75,17.8398,6.20904
11,19.1974,5.65431
11.25,20.7056,5.19172
11.5,22.3746,4.8107
11.75,24.2156,4.50282
12,26.2404,4.26173
12.25,28.4614,4.08305
12.5,30.891,3.9645
12.75,33.5413,3.90601
13,36.4236,3.91006
13.25,39.5468,3.98226
13.5,42.9166,4.13222
13.75,46.5328,4.37482
14,50.3861,4.73224
14.25,54.4535,5.23684
14.5,58.6914,5.93545
14.75,63.0254,6.89542
15,67.3364,8.21282
15.25,71.4422,10.0225
15.5,75.0751,12.5081
15.75,77.8632,15.9042
16,79.3278,20.4761
16.25,78.9297,26.4502
16.5,76.1993,33.8673
16.75,70.9572,42.3808
17,63.5327,51.1229
17.25,54.7901,58.8376
17.5,45.8505,64.3259
17.75,37.6735,66.9243
18,30.7961,66.6684
18.25,25.3412,64.101
18.5,21.1756,59.957
18.75,18.068,54.9269
19,15.7844,49.5501
19.25,14.1278,44.1998
19.5,12.9465,39.1093
19.75,12.1286,34.4083
20,11.5938,30.1559
20.25,11.2849,26.3656
20.5,11.1619,23.0235
20.75,11.1968,20.1001
21,11.3706,17.5586
21.25,11.6708,15.3594
21.5,12.0895,13.4635
21.75,12.6229,11.834
22,13.2697,10.4371
22.25,14.0311,9.24239
22.5,14.9101,8.22312
22.75,15.9115,7.3559
23,17.0413,6.62055
23.25,18.307,5.99987
23.5,19.7172,5.47935
23.75,21.2815,5.04694
24,23.0105,4.69285
24.25,24.9157,4.40941
24.5,27.009,4.19097
24.75,29.3029,4.03388
25,31.8098,3.93663

