year,rabbit,lynx
0,30,4
0.25,32.5683,3.9198
0.5,35.3648,3.90044
0.75,38.3997,3.94622
1,41.6805,4.06497
1.25,45.2101,4.2692
1.5,48.9841,4.57768
1.75,52.9867,5.01793
2,57.185,5.62985
2.25,61.5209,6.47087
2.5,65.8984,7.62333
2.75,70.1676,9.20417
3,74.1028,11.3762
3.25,77.379,14.3573
3.5,79.5538,18.4175
3.75,80.0789,23.8412
4,78.3788,30.8193
4.25,74.0428,39.2447
4.5,67.1123,48.4641
4.75,58.2946,57.2065
5,48.8253,63.9539
5.25,39.9499,67.6405
5.5,32.4386,68.0923
5.75,26.5008,65.8699
6,21.9939,61.8221
6.25,18.6488,56.7466
6.5,16.1975,51.2537
6.75,14.4192,45.7574
7,13.1468,40.5124
7.25,12.2584,35.6599
7.5,11.6669,31.2645
7.75,11.3109,27.3425
8,11.1472,23.8808
8.25,11.1457,20.8501
8.5,11.2858,18.2131
8.75,11.5537,15.9292
9,11.9409,13.9587
9.25,12.4424,12.2636
9.5,13.0566,10.8091
9.75,13.7841,9.56396
10,14.6274,8.50049
10.25,15.5909,7.59451
10.5,16.6804,6.82509
10.75,17.9028,6.17433
11,19.2665,5.62709
11.25,20.7808,5.17073
11.5,22.456,4.79489
11.75,24.3032,4.49136
12,26.3345,4.25392
12.25,28.5622,4.07834
12.5,30.9988,3.96242
12.75,33.6566,3.90617
13,36.5469,3.91211
13.25,39.679,3.98587
13.5,43.0588,4.13698
13.75,46.6866,4.38022
14,50.554,4.7375
14.25,54.6393,5.24078
14.5,58.9006,5.93622
14.75,63.2663,6.8902
15,67.6213,8.19756
15.25,71.7881,9.99216
15.5,75.5042,12.458
15.75,78.3991,15.8354
16,79.9842,20.4074
16.25,79.6855,26.4391
16.5,76.9639,34.0318
16.75,71.5531,42.8867
17,63.7489,52.0925
17.25,54.5114,60.208
17.5,45.1522,65.8125
17.75,36.7653,68.1777
18,29.8841,67.4691
18.25,24.5466,64.4153
18.5,20.5378,59.8724
18.75,17.5796,54.5703
19,15.4203,49.0378
19.25,13.8612,43.6199
19.5,12.7545,38.5207
19.75,11.9933,33.847
20,11.502,29.6413
20.25,11.2271,25.9063
20.5,11.1312,22.6212
20.75,11.1883,19.7527
21,11.3808,17.2617
21.25,11.6971,15.1079
21.5,12.1304,13.2518
21.75,12.677,11.6568
22,13.3363,10.2895
22.25,14.1098,9.12007
22.5,15.0006,8.12222
22.75,16.0138,7.27312
23,17.1555,6.55308
23.25,18.4335,5.94533
23.5,19.8563,5.43578
23.75,21.4337,5.01271
24,23.1764,4.66664
24.25,25.0959,4.39016
24.5,27.2043,4.17787
24.75,29.5142,4.02631
25,32.0379,3.93417

