Absolute Error, Relative Error
1.245393683590428e-01, 4.801531774062145e-02
1.346799903751661e-02, 4.979270251807673e-03
1.357896223451505e-03, 4.997917708848673e-04
1.359016341195840e-04, 4.999791688091269e-05
1.359126674760347e-05, 4.999972615521530e-06
1.359363291708604e-06, 5.000820581846734e-07
1.343269633302668e-07, 4.941613064614924e-08
3.011168736577474e-08, 1.107747084356075e-08
2.235525151661477e-07, 8.224036758831419e-08
2.247757424633789e-07, 8.269036768862642e-08
2.248980650598753e-07, 8.273536764962398e-08
2.416675781926614e-04, 8.889663030131525e-05
2.171794372144209e-03, 7.995973450590784e-04
2.171794372022084e-03, 7.995973450140795e-04
3.167533780902168e-01, 1.043656354979668e-01
1.718281828459045e+00, 1.718281828459045e+00
1.718281828459045e+00, 1.718281828459045e+00
1.718281828459045e+00, 1.718281828459045e+00
1.718281828459045e+00, 1.718281828459045e+00
1.718281828459045e+00, 1.718281828459045e+00
