i,x,a,b,c,d
0,0.9,1.3,0.539624,0,-0.247649
1,1.3,1.5,0.420752,-0.297179,0.946912
2,1.9,1.85,1.0868,1.40726,-2.95638
3,2.1,2.1,1.29494,-0.366567,-0.446635
4,2.6,2.6,0.593399,-1.03652,0.445051
5,3,2.7,-0.0221911,-0.502457,0.17416
6,3.9,2.4,-0.503406,-0.0322258,0.0780757
7,4.4,2.15,-0.477075,0.0848877,1.31417
8,4.7,2.05,-0.0713162,1.26764,-1.58122
9,5,2.1,0.26234,-0.155455,0.0431153
10,6,2.25,0.0807755,-0.0261092,-0.00466634
11,7,2.3,0.0145582,-0.0401082,-0.02445
12,8,2.25,-0.139008,-0.113458,0.0174707
13,9.2,1.95,-0.335834,-0.0505636,-0.0127279
14,10.5,1.4,-0.53183,-0.100202,-0.0203252
15,11.3,0.9,-0.731178,-0.148983,1.21341
16,11.6,0.7,-0.492949,0.943082,-0.839275
17,12,0.6,-0.141335,-0.0640482,0.0363821
18,12.6,0.5,-0.1789,0.00143957,-0.447971
19,13,0.4,-0.392775,-0.536126,0.595695
