iter,step,backtrack
1,0.001953125,9
2,0.001953125,9
3,0.001953125,9
4,0.001953125,9
5,0.001953125,9
6,0.00390625,8
7,0.001953125,9
8,0.001953125,9
9,0.00390625,8
10,0.001953125,9
11,0.0009765625,10
12,0.00390625,8
13,0.0009765625,10
14,0.00390625,8
15,0.0009765625,10
16,0.001953125,9
17,0.0009765625,10
18,0.001953125,9
19,0.001953125,9
20,0.0009765625,10
21,0.001953125,9
22,0.0009765625,10
23,0.001953125,9
24,0.0009765625,10
25,0.001953125,9
26,0.0009765625,10
27,0.001953125,9
28,0.0009765625,10
29,0.001953125,9
30,0.0009765625,10
31,0.001953125,9
32,0.0009765625,10
33,0.001953125,9
34,0.0009765625,10
35,0.0009765625,10
36,0.001953125,9
37,0.0009765625,10
38,0.0009765625,10
39,0.001953125,9
40,0.0009765625,10
41,0.001953125,9
42,0.0009765625,10
43,0.0009765625,10
44,0.001953125,9
45,0.0009765625,10
46,0.001953125,9
47,0.0009765625,10
48,0.001953125,9
49,0.0009765625,10
50,0.001953125,9
51,0.0009765625,10
52,0.001953125,9
53,0.0009765625,10
54,0.0009765625,10
55,0.001953125,9
56,0.0009765625,10
57,0.001953125,9
58,0.0009765625,10
59,0.001953125,9
60,0.0009765625,10
61,0.001953125,9
62,0.0009765625,10
63,0.001953125,9
64,0.0009765625,10
65,0.001953125,9
66,0.0009765625,10
67,0.001953125,9
68,0.0009765625,10
69,0.001953125,9
70,0.0009765625,10
71,0.0009765625,10
72,0.001953125,9
73,0.0009765625,10
74,0.001953125,9
75,0.0009765625,10
76,0.001953125,9
77,0.0009765625,10
78,0.001953125,9
79,0.0009765625,10
80,0.001953125,9
81,0.0009765625,10
82,0.001953125,9
83,0.0009765625,10
84,0.0009765625,10
85,0.001953125,9
86,0.0009765625,10
87,0.001953125,9
88,0.0009765625,10
89,0.001953125,9
90,0.0009765625,10
91,0.001953125,9
92,0.0009765625,10
93,0.0009765625,10
94,0.001953125,9
95,0.0009765625,10
96,0.001953125,9
97,0.0009765625,10
98,0.001953125,9
99,0.0009765625,10
100,0.001953125,9
101,0.0009765625,10
102,0.0009765625,10
103,0.001953125,9
104,0.0009765625,10
105,0.001953125,9
106,0.0009765625,10
