iter,time,f(xk),||Df(xk)||
1,0.000158,2.346094e+03,1551.54693884
2,0.000094,1.337720e+03,1027.37134743
3,0.000096,1.145789e+03,903.38671567
4,0.000090,9.700931e+02,670.19145640
5,0.000091,7.685663e+02,364.99652519
6,0.000094,6.774874e+02,208.68141701
7,0.000095,6.748430e+02,366.63118208
8,0.000093,5.905458e+02,219.10795174
9,0.000094,5.457256e+02,167.34734382
10,0.000091,5.279042e+02,360.44512244
11,0.000093,5.263012e+02,458.07466910
12,0.000097,4.356783e+02,150.00360931
13,0.000097,4.121286e+02,336.99442618
14,0.000093,3.639103e+02,138.27097742
15,0.000101,3.613135e+02,364.02827475
16,0.000107,3.137961e+02,149.64819530
17,0.000119,3.061553e+02,214.57824799
18,0.000126,2.865016e+02,110.51105318
19,0.000196,2.753485e+02,144.93219974
20,0.000292,2.729899e+02,227.28936268
21,0.000853,2.537379e+02,115.83683186
22,0.000160,2.479137e+02,173.07710648
23,0.000174,2.356552e+02,98.66697234
24,0.000262,2.289889e+02,141.85080814
25,0.000132,2.200527e+02,88.04612821
26,0.000108,2.134997e+02,122.69662081
27,0.011715,2.064790e+02,79.68596638
28,0.000115,2.007708e+02,108.94943816
29,0.000337,1.952473e+02,71.06960725
30,0.000389,1.910189e+02,97.58685061
31,0.000419,1.868504e+02,61.64832286
32,0.000370,1.843897e+02,87.89595272
33,0.000394,1.813929e+02,52.21062258
34,0.000500,1.805439e+02,80.33723535
35,0.000387,1.784106e+02,44.37788984
36,0.000567,1.775142e+02,28.14458691
37,0.001042,1.770449e+02,39.24454159
38,0.000529,1.765039e+02,22.34672994
39,0.000717,1.762620e+02,14.53584596
40,0.000346,1.761179e+02,19.58027207
41,0.000405,1.759792e+02,11.42893924
42,0.000481,1.759694e+02,18.70458733
43,0.000459,1.758639e+02,10.32472811
44,0.000487,1.758205e+02,6.52880511
45,0.000390,1.758008e+02,10.09530717
46,0.000363,1.757636e+02,6.19989439
47,0.000388,1.757533e+02,10.20490867
48,0.000331,1.757170e+02,6.19101109
49,0.000332,1.757105e+02,10.45747560
50,0.000425,1.756735e+02,6.29450450
51,0.000593,1.756694e+02,10.79825175
52,0.000465,1.756309e+02,6.45065833
53,0.001717,1.756295e+02,11.21666524
54,0.000509,1.755890e+02,6.64621212
55,0.000355,1.755679e+02,4.73210217
56,0.000548,1.755477e+02,6.87260207
57,0.000365,1.755260e+02,4.81277863
58,0.000385,1.755070e+02,7.14309092
59,0.000326,1.754846e+02,4.91179931
60,0.000264,1.754672e+02,7.46426261
61,0.000276,1.754438e+02,5.03326221
62,0.000331,1.754283e+02,7.84432293
63,0.000362,1.754037e+02,5.18235374
64,0.000261,1.753904e+02,8.29293748
65,0.000333,1.753644e+02,5.36524406
66,0.000318,1.753538e+02,8.82132295
67,0.000203,1.753259e+02,5.58911424
68,0.000209,1.753186e+02,9.44243708
69,0.000354,1.752883e+02,5.86222893
70,0.000358,1.752850e+02,10.17125041
71,0.000410,1.752517e+02,6.19403937
72,0.000507,1.752333e+02,4.46815624
73,0.000682,1.752160e+02,6.58836301
74,0.000931,1.751967e+02,4.61336208
75,0.000490,1.751815e+02,7.06321224
76,0.000462,1.751609e+02,4.79983334
77,0.000347,1.751482e+02,7.63235380
78,0.000334,1.751259e+02,5.03638344
79,0.000358,1.751163e+02,8.31175203
80,0.000315,1.750917e+02,5.33318747
81,0.000317,1.750859e+02,9.11996404
82,0.000356,1.750583e+02,5.70194987
83,0.000321,1.750574e+02,10.07870280
84,0.000374,1.750259e+02,6.15612947
85,0.000385,1.750087e+02,4.38691860
86,0.000387,1.749944e+02,6.70471342
87,0.000328,1.749757e+02,4.61178835
88,0.000516,1.749640e+02,7.37071910
89,0.000356,1.749434e+02,4.89992839
90,0.000521,1.749350e+02,8.17479970
91,0.000498,1.749117e+02,5.26457999
92,0.000564,1.749076e+02,9.14137211
93,0.000638,1.748807e+02,5.72116624
94,0.000601,1.748651e+02,4.18682715
95,0.000453,1.748505e+02,6.28264810
96,0.000443,1.748335e+02,4.41967368
97,0.000432,1.748213e+02,6.97354373
98,0.000463,1.748023e+02,4.72152977
